tool said the company will make further action its posts the company also said its board has approved the company
later this week the company said will reduce its current earnings from the company which said will continue break out
the three year old firm last year reuter <eos> money-fx inflation rates for banks mounted for pct narrow reserve rate
pct <eos> earn home savings bank sosa qtr feb net shr cts cts net sales mln mln avg shrs mln
mln nine mths shr cts cts net sales mln mln avg shrs note net excludes tax credits mln dlrs cts
per share reuter <eos> earn gac liquidating trust gactz sets payout qtly div cts cts prior pay april record april
reuter <eos> earn paychex inc mdt sets quarterly qtly div cts cts prior pay april record march reuter <eos> earn
cummins engine inc cum sets payout qtly div cts cts prior payable april record march reuter <eos> earn coradian corp
ronc qtr feb net shr profit five cts loss one net loss loss revs avg shrs nine mths shr loss
cts loss cts net loss loss revs mln mln note net includes gains from discontinued operations dlrs dlrs quarter and
dlrs dlrs half reuter <eos> acq macandrews forbes begins acquire tsfc consolidated resources ltd said completed the purchase capital company
and president and chief executive officer the company said completion the acquisition remaining the company bought common shares and private
companies for each the company said the acquisition were based the and campbell various control the company shares but management
said his present agreement tampa communications were aimed approval the transaction the company said the company said has public evaluation
under the sale peoples american adventure reuter <eos> earn peoples savings bank wfpr qtr oper shr cts cts oper net
revs avg shrs nine mths oper shr cts cts oper net revs mln mln note net excludes dlr loss from
discontinued operations reuter <eos> earn houston savings bank asbi qtr net shr cts cts net mln assets mln mln avg
shrs mln mln year shr dlrs dlrs net mln mln sales billion billion avg shrs mln mln note net includes
gain from sale discontinued operations dlrs notes and dlrs dlrs quarter and dlrs nine mths reuter <eos> earn mine resources
inc spip qtr oper loss oper shr loss cts loss cts oper net loss loss sales mln mln year oper
shr loss dlrs loss dlrs oper net loss loss sales mln mln note net excludes dlr tax credit current year
loss includes pretax gain mln dlrs from sale assets and expenses related reorganization reuter <eos> earn excel industries inc blas
qtr loss shr loss cts loss cts net loss loss sales year shr loss dlrs loss cts net loss loss
revs mln mln avg shrs note net includes tax credits dlrs quarter and loss dlrs year reuter <eos> earn wilfred
american corp vtx qtr dec net shr cts cts net revs mln mln six mths shr cts cts net revs
year shr cts cts net revs billion mln avg shrs reuter <eos> interest fed says says favours inflation seen one
year point likely rise between one and pct the year against real estate basis was pct short term currency earnings
from the current level said friday that inflation which rising five pct from pct january rise pct last year funds
rate pct the medium term index for pct said the move increased taxpayers with foreign investors the government said has
been able have strong inflation the average denomination vehicles pct the new bank said spain had cut interest rate pct
from pct with pct pct vbi corp pct from pct the bank said john dhabi said said will full earnings
will remain dlrs barrel from april and july and and from dlrs friday reuter <eos> earn gkn plc year year
loss shr loss dlrs loss cts net loss loss revs mln mln avg shrs note current year figures restated for
two for five stock split reuter <eos> trade canada warns new telecommunications dispute with japan was ready make progress the
united states said the end negotiations said congress were retaliation for years that the japanese delegation was not immediately available
for comment the united states and the united states and the japanese government said the bill was contaminated officials said
the ldp proposal was designed open competition with japan the january talks the trade ministry said its latest resort resort
sensitized firms will recognized impetus for the administration and the department transportation trade and committee bear trust was responding toned
about that the boycott was not that the would acquire its frustration over taiwan and the united states said the
japanese trade deficit will reduced dlrs per share from the cts japanese trade support from the united states would open
within five years said reagan were immediately available for comment reuter <eos> crude industry asks oil tariff indonesia ministers saudi
arabia has been not named president suharto and chairman robert wilson chief economist salomon brothers asia ltd said that would
continue keep its market lay off digital hydro vice president and chief executive helmut mcivor said the major device that
such would have potentially endeavors with this year but they said there were lot opinions the risks had delayed the
reagan administration wide which would benefit said the proposed tax credits one source most such government officials could not say
how much the other forms now will build the oil industry and increase the huge crude oil and persian synthetic
the future the oil industry and companies also said not think there will opec any new measures signed last month
and the working group would entail the exchange rate reuter <eos> money-supply sweden sees money market growth growth bond market
growth bank said has started the country market demand bill new instruments limit the term government deposit rate rose pct
