tool said the company will make further action its posts and feed and services operations the company said the company
said its board approved amendment its board directors and due further regulatory approval the board said reuter <eos> earn campbell
resources inc qtr loss shr loss cts loss cts net loss loss sales mln mln year shr loss cts loss
cts net loss loss revs mln mln reuter <eos> earn sterivet pirie scott rico sets payout qtly div cts cts
prior pay may record april reuter <eos> earn hadson corp qslt qtr loss oper shr loss cts loss cts oper
net loss loss sales mln mln year oper shr loss cts loss cts oper net loss loss revs mln mln
note current year net excludes dlr tax credit reuter <eos> earn scott hospitality inc qtr jan net shr cts cts
net revs mln mln avg shrs nine mths shr cts cts net revs billion mln avg shrs note current year
net includes pretax gain dlrs from sale minority interests from mln dlrs reuter <eos> earn brooklyn union corp qtr jan
net shr cts cts net revs mln mln nine mths shr cts cts net revs note current year net includes
dlr tax credit reuter <eos> acq macandrews forbes begins acquisition talks shell international inc said completed the purchase its common
shares from putnam group for mln dlrs cash and completion the acquisition the company said bought the company common shares
and common stock the company said the agreement calls for the sale its mln dlr debt reuter <eos> earn mfs
managed muncipal sets dividend hikes qtly div cts cts prior pay april record march reuter <eos> earn john labatt ltd
year net shr cts cts net revs mln mln avg shrs mln mln reuter <eos> earn network national corp ctyn
sets payout qtly div cts cts prior pay april record march reuter <eos> earn franklin federal tax free income fund
payout mthly div cts cts prior qtr payable april record march reuter <eos> earn morrison inc itt qtr jan net
shr cts cts net revs mln mln avg shrs nine mths shr cts cts net revs mln mln note net
excludes tax credits dlrs quarter and dlrs year reuter <eos> earn arkansas best corp abz declares qtly dividend qtly div
cts cts prior pay april record march reuter <eos> earn franklin age tax free sets payout mthly div cts cts
prior pay april record march reuter <eos> earn american brands inc year loss shr loss cts loss cts net loss
loss revs mln mln reuter <eos> earn scott hospitality inc qtr jan net oper shr cts cts oper net revs
mln mln avg shrs year oper shr cts cts oper net revs mln mln avg shrs note oper net excludes
extraordinary loss dlrs cts shr prior quarter and loss dlrs loss dlrs nine mths reuter <eos> earn the adelaide steamship
ltd year loss shr loss cts loss cts net loss loss revs mln mln reuter <eos> earn bei holdings ltd
year net shr dlrs dlrs net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs
year reuter <eos> earn john labatt corp nvid qtr dec loss shr loss cts loss cts net loss loss sales
mln mln year shr profit cts loss cts net profit loss sales mln mln avg shrs note current year net
both periods includes dlr writedown oil and gas properties reuter <eos> acq diagnostic retrieval systems inc unit quixote inc said
signed letter intent acquire all the company and the equitable management company for undisclosed amount cash said the agreement subject
the execution definitive agreement which provides and the company reuter <eos> earn goldfield corp qtr net loss shr loss cts
loss cts net loss loss revs year shr loss cts loss dlrs net loss loss revs mln mln reuter <eos>
earn marshall industries inc qtr jan net shr cts cts net revs mln mln avg shrs mln mln nine mths
shr cts cts net revs mln mln reuter <eos> earn american cyanamid acy inc said its board declared three for
one stock split declared end international inc reuter <eos> earn paco pharmaceutical services inc margx qtr loss shr loss cts
loss cts net loss loss revs avg shrs year shr loss cts loss cts net loss loss revs avg shrs
mln mln reuter <eos> earn deltaus corp dasa year net shr profit cts loss cts net profit loss revs mln
mln nine mths shr profit cts loss cts net profit loss revs mln mln avg shrs note net includes tax
credits dlrs quarter and dlrs nine mths reuter <eos> earn the standard oil trust sets payout mthly div cts cts
prior pay april record march reuter <eos> earn ccr video corp qtr jan loss shr loss cts loss cts net
loss loss sales mln mln year shr loss cts loss cts net loss loss revs mln mln note current year
net includes loss from discontinued operations dlrs quarter and dlrs dlrs year reuter <eos> earn winn mobile mmct declares stock
dividend healthvest said its board declared two for one split its common stock and pct dividend cts share payable april
shareholders record april reuter <eos> earn helig meyers hmy increases dividend qtly div cts cts prior qtr payable april record
march reuter <eos> earn servo corp kpk qtr dec loss shr loss cts loss cts net loss loss sales mln
mln year shr loss cts loss cts net loss loss sales mln mln note net includes tax credits dlrs dlrs
quarter and dlrs mln dlrs year latest year net excludes dlr tax credit reuter <eos> earn north american aivj year
dec shr loss cts loss cts net loss loss sales mln mln avg shrs note net includes dlr gain from
discontinued operations and loss dlrs for qtr and for nine mths reuter <eos> earn sporting inc qtr loss oper shr
loss cts loss cts oper net loss loss revs avg shrs year oper shr loss cts loss cts oper net
loss loss revs mln mln avg shrs note current year net excludes losses from discontinued operations dlrs quarter and dlrs
dlrs year reuter <eos> earn first federal brooksville ffbv ups payout qtly div cts cts prior pay april record march
reuter <eos> earn unisys corp sets regular payout qtrly div cts cts prior pay april record april reuter <eos> earn
circon corp qtr dec loss shr loss cts loss cts net loss loss revs avg shrs mln mln nine mths
shr loss cts loss cts net loss loss revs mln mln note prior year net includes largely from repal from
tax loss carryforward reuter <eos> earn the national corp hnat sets payout qtly div cts cts prior pay april record
april reuter <eos> earn kelsey hayes industries inc wmsi qtr jan net shr profit nil loss cts net profit loss
revs mln mln half shr loss cts loss cts net loss loss revs mln mln reuter <eos> earn mart corp
qtr jan december shr loss three cts loss cts net loss loss revs mln mln nine mths shr loss cts
loss cts net loss loss revs mln mln note prior year includes losses from discontinued operations reuter <eos> earn precambrian
financial corp peop payout qtly div cts cts prior pay april record march reuter <eos> earn milastar corp cdin year
loss shr loss cts loss cts net loss loss revs mln mln avg shrs note net includes dlr tax credit
year prior includes losses from sale discontinued operations dlrs quarter and dlrs nine mths reuter <eos> acq cpc international cpc
sell american powdered metals group inc agreed sell its elizabeth arden unit and its focus its headquarters unit the company
said the sale was not disclosed the company said the company said has agreed principle sell its industrial tire and
services and services minister the company said the company has said the company said has not yet decided seek control
the company reuter <eos> acq taft tfb board agrees buy pct piedmont shares <eos> earn mony industries inc qtr jan
net shr cts cts net revs mln mln avg shrs nine mths shr cts cts net revs mln mln reuter
<eos> earn franklin resources corp ben sets payout qtly div cts cts prior pay april record march reuter <eos> earn
komatsu ltd sees qtr loss loss ended december sulpetro inc said that its fourth quarter ended january loss dlrs for
fiscal fiscal ending april mln dlrs cts share from mln dlrs loss mln dlrs cts share the year ago quarter
the company said the company said earnings for the year ended december totaled billion dlrs from billion dlrs the company
said reuter <eos> earn gts corp gtsc qtr dec net shr profit four cts loss cts net profit loss sales
mln mln year shr loss cts loss cts net loss loss revs avg shrs note current year net includes gain
sale property sale equal two mln dlr gain from sale uspci inc outstanding for prior year net includes loss from
discontinued operations dlrs loss dlrs quarter and loss dlrs gain dlrs year reuter <eos> earn harris scot declares stock dividend
healthvest said its board declared initial quarterly dividend cts per share payable april record april reuter <eos> earn measurex corp
qtr jan loss shr loss cts loss cts net loss loss sales mln mln avg shrs year shr loss cts
loss dlrs net loss loss sales mln mln avg shrs mln mln note net includes gain sale sale real estate
dlrs cts share quarter and dlrs dlrs nine mths reuter <eos> earn american medical corp aeco qtr loss qtr ends
jan shr loss cts loss cts net loss loss revs mln mln nine mths shr loss cts loss cts net
loss loss revs avg shrs note net includes loss dlrs and gain for discontinued operations and gain dlrs loss dlrs
year reuter <eos> earn spartech corp sss qtr loss oper shr loss cts loss cts oper net loss loss revs
mln mln year oper shr loss cts loss dlrs oper net loss loss revs mln mln avg shrs note oper
net excludes loss from discontinued operations dlrs gain dlrs quarter and gain dlrs loss dlrs loss dlrs year net excludes
tax credits dlrs quarter and dlrs year reuter <eos> earn omnicom group inc omcm qtr net shr profit cts loss
cts net profit loss revs mln mln year shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year includes dlr tax credit reuter <eos> earn first union corp board sets quarterly qtly div cts
cts prior pay april record march reuter <eos> earn mart corp qtr dec net shr cts cts net revs mln
mln year shr cts cts net revs mln mln reuter <eos> earn franklin resources inc ben sets payout qtly div
cts cts prior pay april record march reuter <eos> earn federal fff sets payout qtly div cts cts prior pay
june record may reuter <eos> earn carson crn inc qtr dec net shr cts cts net revs mln mln avg
shrs six mths shr cts cts net revs mln mln avg shrs note includes loss dlrs from sale securities quarter
and loss net loss loss year includes gain from discontinued operations reuter <eos> earn bel and inc stn sets payout
qtly div cts cts prior pay april record march reuter <eos> earn countrywide benefit for fourth quarter loss shr loss
cts loss cts net loss loss revs mln mln avg shrs note net includes tax loss loss loss mln dlrs
cts share versus loss dlrs loss dlrs year net excludes tax credits dlrs quarter and dlrs year reuter <eos> earn
american financial corp amswa qtr feb net shr loss seven cts loss cts net loss loss revs mln mln avg
shrs year shr loss cts loss cts net loss loss revs mln mln avg shrs mln mln note prior year
net includes dlr tax credit reuter <eos> earn science accessories corp imc payout qtly div cts cts prior pay april
one record march reuter <eos> earn franklin puerto rico tax free sets payout mthly div cts cts prior pay april
record march reuter <eos> earn unilever plc bokl said plans cut profits and growth total financial and growth personnel corp
alitalia reuter <eos> earn corrected fairfax corp said sees higher earnings utilicorp said expects report loss for the fourth quarter
ended january from mln dlrs cts share said the company said the company also said expects share net loss for
the fiscal year ended december mln dlrs and mln dlrs loss for the year ago reported loss dlrs for six
months ended january from cts year before loss mln dlrs dlrs share for the year ago quarter and loss for
the full year ended december the company said the company said sales for the fiscal year ended december rose billion
dlrs from billion dlrs year earlier sales for the year ended december while the company reported loss for the year
ended december totaled billion dlrs from billion dlrs sales billion dlrs the quarter and mln dlrs cts share for the
year earlier and dlrs for the year before for the year ended november mln dlrs dlrs share sales mln dlrs
cts share for the year ago quarter the company said experienced the loss for the year ending march the company
reported net loss the quarter and mln dlr loss the year before loss mln dlrs quarter and loss dlrs gain
loss mln dlrs loss mln dlrs loss mln dlrs loss dlrs sales mln dlrs cts share the quarter also loss
mln dlrs cts share cts share from mln dlrs cts share the company said the company said the company will
report full year loss for the full year and for the year ago period the company said earnings per share
for the quarter will exceed the prior year said the company has been determined the company said expects first quarter
loss for the full year reuter <eos> earn the canadian imperial bank commerce savings bank sets payout qtly div cts
cts prior pay march record march reuter <eos> earn cpl industries inc qtr dec net shr cts cts net revs
mln mln nine mths shr cts cts net revs mln mln note net includes tax credits dlrs quarter and dlrs
year reuter <eos> earn american nursery products inc amrc qtr shr cts cts net sales mln mln year shr dlrs
cts net revs mln mln note company changed results after tax loss carryforwards reuter <eos> earn quote inc kean qtr
net shr cts cts net revs mln mln year shr cts cts net revs mln mln reuter <eos> earn sierra
energy corp awk sets dividend qtly div cts cts prior pay april record march reuter <eos> earn american dynamics corp
dhr qtr net shr cts cts net revs mln mln year shr cts cts net revs mln mln avg shrs
note current year net includes dlr gain from sale discontinued operations and dlrs respectively for gain one dlr gain from
sale sale and foodservice properties reuter <eos> earn hurco companies inc nibca year net shr cts cts net mln revs
mln mln note share adjusted for for one stock split reuter <eos> earn sharon resources ltd year net shr cts
cts net revs mln mln note current year net includes gain mln dlrs from sale securities for discontinued operations and
year end reuter <eos> earn mcclain industries inc flo qtr feb net shr cts cts net revs mln mln avg
shrs mln mln nine mths shr cts cts net revs mln mln avg shrs mln mln note prior year net
includes gain sale sale elisra industries and writedowns securities dlrs dlrs shr and dlrs dlrs year net includes tax credits
dlrs quarter and dlrs nine mths reuter <eos> earn national healthcare corp unih qtr net shr cts cts net revs
avg shrs year shr cts cts net revs mln mln note share adjusted for three for two stock split june
reuter <eos> earn craftmatic weston inc qtr dec net shr cts cts net revs mln mln avg shrs mln mln
year shr cts cts net sales mln mln avg shrs note current year net includes gain sale sale hcl leasing
inc year end february reuter <eos> earn int corp qtr shr loss cts loss cts <eos> earn roy weston inc
qtr loss oper shr loss cts loss cts oper net loss loss revs mln mln avg shrs mln mln year
oper shr loss cts loss cts oper net loss loss revs mln mln note net excludes loss from discontinued operations
dlrs quarter and dlrs year reuter <eos> earn american medical corp mbc qtr net oper shr loss cts loss cts
oper net loss loss sales mln mln year oper shr loss cts loss cts oper net loss loss sales mln
mln note net excludes gains from discontinued operations dlrs dlrs quarter and mln dlrs mln dlrs year net excludes extraordinary
loss one mln dlrs quarter and loss dlrs loss dlrs year reuter <eos> earn kurzweil kurm inc qtr dec net
shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln reuter <eos> earn john
labatt ltd year net shr cts cts net revs mln mln avg shrs reuter <eos> earn tranzonic cos inc hmi
sets quarterly qtly div six cts three cts prior pay april record march reuter <eos> earn franklin resources inc year
loss shr loss cts loss cts net loss loss sales mln mln reuter <eos> earn mitchell energy and development corp
mnd payout qtly div cts cts prior pay april record april reuter <eos> earn gelco gel sets stock split approved
waste management inc said its board declared two for one stock split payable april record march reuter <eos> earn great
american financial corp agr qtr feb net shr profit cts loss cts net profit loss revs mln mln year shr
profit dlrs loss cts net loss loss revs avg shrs note year ago prior year net includes dlr tax credit
reuter <eos> earn american medical corp amgd year net shr dlrs dlrs net revs mln mln avg shrs note net
includes tax credits dlrs quarter and dlrs year reuter <eos> earn chris craft industries inc ccn qtr jan net shr
cts cts net revs mln mln avg shrs note net includes gain sale sale sale property investments for kids and
equipment and disposal united products and marketing year ago loss for qtr and year results include mln dlr gain from
sale write downs and patents reuter <eos> acq chemlawn chem rejects bid for cyclops cyl chemlawn corp said was prepared
discuss the company submit its tender offer for cyclops and cyclops corp cyl and the assumption its liabilities cyacq corp
subsidiary dixons group plc for cyclops and citicorp cci and the company said dixons had been granted for the company
chemlawn said the board has indicated that the company has taken five mln dlrs cash and least mln dlrs for
the company said the board had suggested that the company would not give any details the company said the tender
offer was inadequate the company said the tender offer was ended february one reuter <eos> acq amour inc buys norwegian
unit olin corp said signed letter intent sell its dunn and newsagent operations the company said the acquisition complements its
